=== 预测数据记录 ===
开始时间: 2026-01-18 03:48:08
预测时间步长: 0.02 秒 (predictionTimeStep字段=0.01)
飞船初始位置: (-45.86, -1.42, 0.00)
飞船初始速度: (14.98, -0.82, 0.00)
GravityEngine 参数:
  - physToWorldFactor: 1
  - massScale: 1
  - fixedDeltaTime: 0.02
CoreDeflector 数量: 1
  - CoreDeflector[0]: 位置=(-5.85, -2.52, 0.00), 质量=500, 引导强度=0.12, trigger半径=10.29
---
格式: [步数] [时间] [位置] [速度] [速度大小] [GravityEngine加速度] [CoreDeflector效果] [ShipState缩放] [其他效果]
---
[97] t=1.9400 pos=(-16.044,-2.921,0.000) vel=(16.176,-0.684,0.000) speed=16.190 gravAcc=(2.013,0.199,0.000) 
[98] t=1.9600 pos=(-15.723,-2.939,0.000) vel=(16.051,-0.903,0.000) speed=16.076 gravAcc=(2.131,0.210,0.000)Core[CoreDeflector[0]]:dist=10.20,guidance=0.12,velChange=0.260,accel=12.980,ACTIVE 
[99] t=1.9800 pos=(-15.404,-2.961,0.000) vel=(15.934,-1.116,0.000) speed=15.973 gravAcc=(2.259,0.224,0.000)Core[CoreDeflector[0]]:dist=9.88,guidance=0.12,velChange=0.251,accel=12.545,ACTIVE 
[100] t=2.0000 pos=(-15.088,-2.988,0.000) vel=(15.827,-1.324,0.000) speed=15.883 gravAcc=(2.398,0.241,0.000)Core[CoreDeflector[0]]:dist=9.56,guidance=0.12,velChange=0.242,accel=12.105,ACTIVE 
[101] t=2.0200 pos=(-14.773,-3.018,0.000) vel=(15.730,-1.527,0.000) speed=15.804 gravAcc=(2.551,0.260,0.000)Core[CoreDeflector[0]]:dist=9.25,guidance=0.12,velChange=0.233,accel=11.660,ACTIVE 
[102] t=2.0400 pos=(-14.460,-3.053,0.000) vel=(15.644,-1.724,0.000) speed=15.739 gravAcc=(2.718,0.284,0.000)Core[CoreDeflector[0]]:dist=8.93,guidance=0.12,velChange=0.224,accel=11.208,ACTIVE 
[103] t=2.0600 pos=(-14.149,-3.091,0.000) vel=(15.569,-1.917,0.000) speed=15.687 gravAcc=(2.902,0.313,0.000)Core[CoreDeflector[0]]:dist=8.62,guidance=0.12,velChange=0.215,accel=10.750,ACTIVE 
[104] t=2.0800 pos=(-13.839,-3.133,0.000) vel=(15.507,-2.104,0.000) speed=15.649 gravAcc=(3.105,0.348,0.000)Core[CoreDeflector[0]]:dist=8.32,guidance=0.12,velChange=0.206,accel=10.286,ACTIVE 
[105] t=2.1000 pos=(-13.529,-3.179,0.000) vel=(15.459,-2.286,0.000) speed=15.627 gravAcc=(3.329,0.391,0.000)Core[CoreDeflector[0]]:dist=8.01,guidance=0.12,velChange=0.196,accel=9.819,ACTIVE 
[106] t=2.1200 pos=(-13.221,-3.228,0.000) vel=(15.425,-2.462,0.000) speed=15.620 gravAcc=(3.579,0.443,0.000)Core[CoreDeflector[0]]:dist=7.70,guidance=0.12,velChange=0.187,accel=9.352,ACTIVE 
[107] t=2.1400 pos=(-12.913,-3.281,0.000) vel=(15.408,-2.632,0.000) speed=15.632 gravAcc=(3.857,0.507,0.000)Core[CoreDeflector[0]]:dist=7.40,guidance=0.12,velChange=0.178,accel=8.894,ACTIVE 
[108] t=2.1600 pos=(-12.605,-3.337,0.000) vel=(15.410,-2.796,0.000) speed=15.661 gravAcc=(4.169,0.585,0.000)Core[CoreDeflector[0]]:dist=7.10,guidance=0.12,velChange=0.169,accel=8.455,ACTIVE 
[109] t=2.1800 pos=(-12.296,-3.396,0.000) vel=(15.432,-2.953,0.000) speed=15.712 gravAcc=(4.519,0.682,0.000)Core[CoreDeflector[0]]:dist=6.80,guidance=0.12,velChange=0.161,accel=8.058,ACTIVE 
[110] t=2.2000 pos=(-11.986,-3.458,0.000) vel=(15.476,-3.102,0.000) speed=15.784 gravAcc=(4.914,0.803,0.000)Core[CoreDeflector[0]]:dist=6.50,guidance=0.12,velChange=0.155,accel=7.734,ACTIVE 
[111] t=2.2200 pos=(-11.675,-3.523,0.000) vel=(15.546,-3.242,0.000) speed=15.881 gravAcc=(5.364,0.954,0.000)Core[CoreDeflector[0]]:dist=6.20,guidance=0.12,velChange=0.151,accel=7.533,ACTIVE 
[112] t=2.2400 pos=(-11.363,-3.590,0.000) vel=(15.645,-3.372,0.000) speed=16.005 gravAcc=(5.876,1.144,0.000)Core[CoreDeflector[0]]:dist=5.91,guidance=0.12,velChange=0.150,accel=7.523,ACTIVE 
[113] t=2.2600 pos=(-11.047,-3.660,0.000) vel=(15.777,-3.488,0.000) speed=16.158 gravAcc=(6.463,1.385,0.000)Core[CoreDeflector[0]]:dist=5.61,guidance=0.12,velChange=0.156,accel=7.790,ACTIVE 
[114] t=2.2800 pos=(-10.728,-3.732,0.000) vel=(15.947,-3.589,0.000) speed=16.346 gravAcc=(7.139,1.693,0.000)Core[CoreDeflector[0]]:dist=5.32,guidance=0.12,velChange=0.168,accel=8.423,ACTIVE 
[115] t=2.3000 pos=(-10.405,-3.805,0.000) vel=(16.160,-3.669,0.000) speed=16.572 gravAcc=(7.923,2.092,0.000)Core[CoreDeflector[0]]:dist=5.02,guidance=0.12,velChange=0.190,accel=9.506,ACTIVE 
[116] t=2.3200 pos=(-10.076,-3.880,0.000) vel=(16.424,-3.724,0.000) speed=16.841 gravAcc=(8.836,2.613,0.000)Core[CoreDeflector[0]]:dist=4.73,guidance=0.12,velChange=0.222,accel=11.112,ACTIVE 
[117] t=2.3400 pos=(-9.741,-3.954,0.000) vel=(16.747,-3.746,0.000) speed=17.160 gravAcc=(9.904,3.300,0.000)Core[CoreDeflector[0]]:dist=4.44,guidance=0.12,velChange=0.266,accel=13.321,ACTIVE 
[118] t=2.3600 pos=(-9.399,-4.029,0.000) vel=(17.138,-3.722,0.000) speed=17.538 gravAcc=(11.157,4.220,0.000)Core[CoreDeflector[0]]:dist=4.15,guidance=0.12,velChange=0.325,accel=16.239,ACTIVE 
[119] t=2.3800 pos=(-9.046,-4.102,0.000) vel=(17.611,-3.637,0.000) speed=17.983 gravAcc=(12.627,5.468,0.000)Core[CoreDeflector[0]]:dist=3.85,guidance=0.12,velChange=0.400,accel=20.024,ACTIVE 
[120] t=2.4000 pos=(-8.683,-4.171,0.000) vel=(18.179,-3.467,0.000) speed=18.507 gravAcc=(14.345,7.186,0.000)Core[CoreDeflector[0]]:dist=3.56,guidance=0.12,velChange=0.498,accel=24.904,ACTIVE 
[121] t=2.4200 pos=(-8.306,-4.234,0.000) vel=(18.857,-3.178,0.000) speed=19.123 gravAcc=(16.326,9.589,0.000)Core[CoreDeflector[0]]:dist=3.28,guidance=0.12,velChange=0.624,accel=31.217,ACTIVE 
[122] t=2.4400 pos=(-7.913,-4.289,0.000) vel=(19.659,-2.719,0.000) speed=19.846 gravAcc=(18.534,12.997,0.000)Core[CoreDeflector[0]]:dist=2.99,guidance=0.12,velChange=0.789,accel=39.440,ACTIVE 
[123] t=2.4600 pos=(-7.501,-4.329,0.000) vel=(20.591,-2.014,0.000) speed=20.690 gravAcc=(20.811,17.882,0.000)Core[CoreDeflector[0]]:dist=2.72,guidance=0.12,velChange=1.005,accel=50.236,ACTIVE 
[124] t=2.4800 pos=(-7.085,-4.348,0.000) vel=(20.791,-0.923,0.000) speed=20.811 gravAcc=(22.712,24.894,0.000)Core[CoreDeflector[0]]:dist=2.45,guidance=0.12,velChange=0.944,accel=47.216,ACTIVE 
[125] t=2.5000 pos=(-6.666,-4.343,0.000) vel=(20.941,0.233,0.000) speed=20.943 gravAcc=(23.232,34.332,0.000)Core[CoreDeflector[0]]:dist=2.20,guidance=0.12,velChange=0.950,accel=47.513,ACTIVE 
[126] t=2.5200 pos=(-6.246,-4.314,0.000) vel=(21.021,1.465,0.000) speed=21.071 gravAcc=(20.669,46.023,0.000)Core[CoreDeflector[0]]:dist=2.00,guidance=0.12,velChange=0.956,accel=47.806,ACTIVE 
[127] t=2.5400 pos=(-5.826,-4.258,0.000) vel=(20.994,2.768,0.000) speed=21.176 gravAcc=(12.921,58.112,0.000)Core[CoreDeflector[0]]:dist=1.84,guidance=0.12,velChange=0.961,accel=48.042,ACTIVE 
[128] t=2.5600 pos=(-5.409,-4.176,0.000) vel=(20.824,4.115,0.000) speed=21.227 gravAcc=(-0.774,66.319,0.000)Core[CoreDeflector[0]]:dist=1.74,guidance=0.12,velChange=0.963,accel=48.158,ACTIVE 
[129] t=2.5800 pos=(-4.999,-4.067,0.000) vel=(20.494,5.446,0.000) speed=21.206 gravAcc=(-17.318,65.898,0.000)Core[CoreDeflector[0]]:dist=1.72,guidance=0.12,velChange=0.962,accel=48.110,ACTIVE 
[130] t=2.6000 pos=(-4.599,-3.933,0.000) vel=(20.027,6.699,0.000) speed=21.118 gravAcc=(-30.638,56.293,0.000)Core[CoreDeflector[0]]:dist=1.77,guidance=0.12,velChange=0.958,accel=47.911,ACTIVE 
[131] t=2.6200 pos=(-4.209,-3.776,0.000) vel=(19.470,7.843,0.000) speed=20.991 gravAcc=(-36.882,42.141,0.000)Core[CoreDeflector[0]]:dist=1.89,guidance=0.12,velChange=0.952,accel=47.622,ACTIVE 
[132] t=2.6400 pos=(-3.832,-3.599,0.000) vel=(18.866,8.880,0.000) speed=20.851 gravAcc=(-36.833,28.641,0.000)Core[CoreDeflector[0]]:dist=2.07,guidance=0.12,velChange=0.946,accel=47.306,ACTIVE 
[133] t=2.6600 pos=(-3.467,-3.402,0.000) vel=(18.239,9.827,0.000) speed=20.718 gravAcc=(-33.335,18.220,0.000)Core[CoreDeflector[0]]:dist=2.29,guidance=0.12,velChange=0.940,accel=47.003,ACTIVE 
[134] t=2.6800 pos=(-3.115,-3.188,0.000) vel=(17.599,10.702,0.000) speed=20.598 gravAcc=(-28.710,11.001,0.000)Core[CoreDeflector[0]]:dist=2.54,guidance=0.12,velChange=0.935,accel=46.731,ACTIVE 
[135] t=2.7000 pos=(-2.776,-2.958,0.000) vel=(16.949,11.520,0.000) speed=20.494 gravAcc=(-24.182,6.256,0.000)Core[CoreDeflector[0]]:dist=2.82,guidance=0.12,velChange=0.930,accel=46.494,ACTIVE 
[136] t=2.7200 pos=(-2.462,-2.722,0.000) vel=(15.724,11.793,0.000) speed=19.655 gravAcc=(-20.216,3.207,0.000)Core[CoreDeflector[0]]:dist=3.11,guidance=0.12,velChange=1.132,accel=56.607,ACTIVE 
[137] t=2.7400 pos=(-2.169,-2.483,0.000) vel=(14.652,11.958,0.000) speed=18.913 gravAcc=(-17.008,1.324,0.000)Core[CoreDeflector[0]]:dist=3.40,guidance=0.12,velChange=0.982,accel=49.124,ACTIVE 
[138] t=2.7600 pos=(-1.895,-2.242,0.000) vel=(13.704,12.052,0.000) speed=18.250 gravAcc=(-14.436,0.151,0.000)Core[CoreDeflector[0]]:dist=3.68,guidance=0.12,velChange=0.866,accel=43.312,ACTIVE 
