=== 飞船飞行数据记录 ===
开始时间: 2026-01-17 00:40:51
记录间隔: 0.02 秒
飞船初始位置: (-45.86, 5.80, 0.00)
飞船初始速度: (14.17, 4.91, 0.00)
GravityEngine 参数:
  - physToWorldFactor: 1
  - massScale: 1
  - fixedDeltaTime: 0.02
CoreDeflector 数量: 1
  - GravityCore: 位置=(-46.59, 10.45, 0.00), 质量=500, 引导强度=0.12
---
格式: [帧数] [时间] [位置] [速度] [速度大小] [GravityEngine加速度] [CoreDeflector效果] [ShipState缩放] [其他效果]
---
[135] t=74.1790 pos=(13.450,13.437,0.013) vel=(17.764,-8.099,0.043) speed=19.523 gravAcc=(-2.256,-0.745,-0.003)   Capture:dist=14.57,radius=20.10 
[136] t=74.2190 pos=(14.181,13.104,0.015) vel=(16.659,-7.600,0.050) speed=18.311 gravAcc=(-2.103,-0.614,-0.003)   Capture:dist=15.17,radius=20.10 
[137] t=74.2590 pos=(14.845,12.799,0.017) vel=(16.580,-7.622,0.050) speed=18.248 gravAcc=(-1.971,-0.512,-0.003)   Capture:dist=15.74,radius=20.10 
[138] t=74.2990 pos=(15.507,12.494,0.019) vel=(16.505,-7.641,0.050) speed=18.188 gravAcc=(-1.846,-0.426,-0.003)   Capture:dist=16.31,radius=20.10 
[139] t=74.3190 pos=(15.779,12.368,0.020) vel=(15.550,-7.219,0.055) speed=17.144 gravAcc=(-1.797,-0.394,-0.003)   Capture:dist=16.55,radius=20.10 
[140] t=74.3590 pos=(16.400,12.079,0.022) vel=(15.482,-7.233,0.055) speed=17.089 gravAcc=(-1.690,-0.330,-0.003)   Capture:dist=17.10,radius=20.10 
[141] t=74.3990 pos=(17.057,11.771,0.024) vel=(15.415,-7.246,0.055) speed=17.033 gravAcc=(-1.584,-0.271,-0.003)   Capture:dist=17.69,radius=20.10 
[142] t=74.4390 pos=(17.638,11.495,0.027) vel=(14.501,-6.904,0.058) speed=16.061 gravAcc=(-1.496,-0.226,-0.003)   Capture:dist=18.22,radius=20.10 
[143] t=74.4790 pos=(18.181,11.236,0.029) vel=(14.448,-6.912,0.058) speed=16.016 gravAcc=(-1.418,-0.189,-0.003)   Capture:dist=18.73,radius=20.10 
[144] t=74.4990 pos=(18.469,11.098,0.030) vel=(14.421,-6.916,0.058) speed=15.993 gravAcc=(-1.379,-0.172,-0.003)   Capture:dist=19.00,radius=20.10 
[145] t=74.5390 pos=(19.081,10.804,0.033) vel=(14.366,-6.922,0.058) speed=15.947 gravAcc=(-1.299,-0.138,-0.003)   Capture:dist=19.57,radius=20.10 
